codeSad,nomM,nomF
63661,Directeur adjoint,Directrice adjoint
63662,Spécialiste-Dev. des affaires,Spécialiste-Dev. des affaires
63663,Resp. Gest. Fin. & Matér.,Resp. Gest. Fin. & Matér.
63664,Gestionnaire de contrats,Gestionnaire de contrats
63665,Responsable gest. ress. hum.,Responsable gest. ress. hum.
63666,"Conseiller,architecture solu.","Conseillère,architecture solu."
63667,Coordonnateur dév. profession.,Coordonnatrice dév. professio.
63668,Cons.  vigie numérique  techno,Cons.  vigie numérique  techno
63669,Responsable aux suivis,Responsable aux suivis
63670,Coord. soutien logiciels,Coord. soutien logiciels
63671,Coord. projets d'envergure,Coord. projets d'envergure
63672,Responsable arch. hist.,Responsable arch. hist.
63673,Adjoint vice-doyen exécutif,Adjointe vice-doyen exécutif
63674,Conseiller en gest.des opérat.,Conseillère en gest.des opérat
63675,"Coordonnateur stage,prog.fac.","Coordonnatrice stage,prog.fac."
63676,Coordonnateur aux évènements,Coordonnatrice aux évènements
63677,Coordonnateur aux partenariats,"Coordonnatrice, partenariats"
63678,Acheteur I,Acheteuse I
63679,Conseiller effectifs étudiants,Conseillère effectif étudiants
63680,Conseiller gest.des urgences,Conseillère gest.des urgences
63681,Analyste en gestion des études,Analyste en gestion des études
63682,Coordonnateur - CDEA,Coordonatrice - CDEA
63683,Kinésiologue,Kinésiologue
63684,Prof. fonctions syndicales,Prof. fonctions syndicales
63685,Resp. systèmes d'information,Resp. systèmes d'information
63686,"Coordonnateur, infrastructures","Coordonnatrice,infrastructures"
63687,Cons. labo d'enseignement,Cons. labo d'enseignement
63688,Cons. princ. relation diplômé,Cons. princ. relation diplômé
63689,Animateur de groupe,Animatrice de groupe
63690,Animateur-Fête d'enfant,Animatrice-Fête d'enfant
63691,Animateur d'escalade,Animatrice d'escalade
63692,Annonceur de match,Annonceure de match
63693,Chef d'atelier d'électronique,Chef d'atelier d'électronique
63694,Assistant annonceur de match,Assistante annonceur de match
63695,Descripteur sportif,Descriptrice sportif
63696,Analyste sportif,Analyste sportif
63697,Statiscien sportif,Statiscien sportif
63698,Assistant info sport,Assistante info sport
63699,Responsable prog.(Animation),Responsable prog.(Animation)
63700,Responsable de programme,Responsable de programme
63701,Agent de recherche,Agente de recherche
63702,Responsable (Kino-Québec),Responsable (Kino Québec)
63703,Conseiller (Gest. placements),Conseillère (Gest. placements)
63704,Architecte en techn.(Princip.),Architecte en techn.(Princip.)
63705,Agent de recrutement,Agente de recrutement
63706,Architecte en médiatisation,Architecte en médiatisation
63707,Coordonnateur des interv.techn,Coordonnatrice des interv.tech
63708,Coordonnateur des interv.techn,Coordonnatrice des interv.tech
63709,Administrateur d'applications,Administratrice d'applications
63710,Administrateur d'applications,Administratrice d'applications
63711,Administrateur de réseaux,Administratrice de réseaux
63712,Administrateur de réseau,Administratrice de réseau
63713,Agent de recrutement,Agente de recrutement
63714,Analyste en informatique 3,Analyste en informatique 3
63715,Conseiller pédagogique,Conseillère pédagogique
63716,Psychologue 3,Psychologue 3
63717,Architecte (s.t.i.),Architecte (s.t.i.)
63718,Responsable (Embauche),Responsable (Embauche)
63719,Concepteur de solutions Web,Conceptrice de solutions Web
63720,Concepteur 2,Conceptrice 2
63721,Chargé de projet 1,Chargée de projet 1
63722,Chargé de projet 2,Chargée de projet 2
63723,Coordonnateur (Plans et devis),Coordonnatrice(Plans et devis)
63724,Programmeur-consultant,Programmeuse-consultante
63725,Programmeur 2,Programmeuse 2
63726,Analyste programmeur 1,Analyste programmeuse 1
63727,Analyste en informatique 1,Analyste en informatique 1
63728,Conseiller en dotation,Conseillère en dotation
63729,Conseiller en dotation,Conseillère en dotation
63730,Conseiller en rel. de travail,Conseillère en rel. de travail
63731,Agent de communication,Agente de communication
63732,Coordonnateur(Act.hors-campus),Coordonnatrice(Act.hors-campu)
63733,Conseiller en intégration,Conseillère en intégration
63734,Conseiller en intégration,Conseillère en intégration
63735,Conseiller en archit.techn.,Conseillère en archit.techn.
63736,Conseiller en archit.techn.,Conseillère en archit.techn.
63737,Coordonnateur points serv.tech,Coordonnatrice points serv.tec
63738,Coordonnateur points serv.tech,Coordonnatrice points serv.tec
63739,Responsable des syst. gestion,Responsable des syst. gestion
63740,Chef de la médiatisation,Chef de la médiatisation
63741,Technicien de recherche 1/2 t,Technicienne de recherche 1/2t
63742,Responsable exploit.syst.gest.,Responsable exploit.syst.gest.
63743,"Analyste, équip. biomédicaux","Analyste, équip. biomédicaux"
63744,"Cons., santé et mieux-être tr.","Cons., santé et mieux-être tr."
63745,"Adjoint, Dir. du BPE","Adjointe, Dir. du BPE"
63746,Coordonnateur clinique,Coordonnateur clinique
63747,Resp. reconnaissance acquis,Resp. reconnaissance acquis
63748,Pharmacien,Pharmacienne
63749,Agent de rech. economiste,Agente de rech. economiste
63750,Agent de dotation,Agente de dotation
63751,Agent de gestion-Construction,Agente de gestion-Construction
63752,Responsable gest.-org.academiq,Responsable gest.-org.academiq
63753,Contrôleur,Contrôleuse
63754,Analyste service clientèle,Analyste service clientèle
63755,Analyste - Gestion placements,Analyste - Gestion placements
63756,Analyste web,Analyste web
63757,Conseiller en marketnig,Conseillère en marketing
63758,Analyste gest. données acad.,Analyste gest. données acad.
63759,Cons. communautaire,Cons. communautaire
63760,Cons. intelligence d'affaires,Cons. intelligence d'affaires
63761,Infirmier prat. spéc.,Infirmière prat. spéc.
63762,Responsable évènements,Responsable évènements
63763,Responsable d'ensemble,Responsable d'ensemble
63765,Responsable de la promotion,Responsable de la promotion
63766,Assistant-entraîneur,Assistante-entraîneuse
63767,Conseiller gestion académique,Conseillère gestion académique
63768,Analyste principal,Analyste principale
63769,Cons. aux étudiants sit. hand.,Cons. aux étudiants sit. hand.
63770,Cons. principal développement,Cons. principale développement
63771,Cons. spécialisé développement,Cons. spécialisé développement
63772,Analyste en intel. d'affaires,Analyste en intel. d'affaires
63773,Gestionnaire de projets,Gestionnaire de projets
63774,Conseiller,Conseillère
63777,Responsable des sports collect,Responsable des sports collect
63778,Modélisateur des données,Modélisateure des données
63779,Ombudsman adjoint,Ombudsman adjointe
63780,Coordonnateur de prod.,Coordonnatrice de prod.
63781,Cons. dév. rel. diplômés-Int.,Cons. dév. rel. diplômés-Int.
63782,Resp. service à la clientele,Resp. service à la clientele
63783,Partenaire RH II,Partenaire RH II
63784,Partenaire RH I,Partenaire RH I
63785,Planificateur et cont. projets,Planificatrice cont. projets
63786,Conseiller spécialisé,Conseillère spécialisée
63790,Animateur pastorale 3/5 t,Animatrice pastorale 3/5 t
63791,Stagiaire externe,Stagiaire externe
63792,Rédacteur- vidéaste,Rédactrice-vidéaste
63793,Concepteur TI,Conceptrice TI
63794,Concepteur de réseaux,Conceptrice de réseaux
63795,Conseiller médiation techno.,Conseillère médiation techno.
63796,Directeur adjoint,Directrice adjointe
63797,Concepteur de cours en ligne,Conceptrice de cours en ligne
63798,Recruteur,Recruteuse
63799,Audiologiste,Audiologiste
63820,Conseiller princ. placement,Conseillère princ. placement
63821,Coordonnateur aff. académiques,Coordonnatrice aff.académiques
63824,Cons. princ. aff. étud. réus.,Cons. princ. aff. étud. réus.
63825,Psychologue 3 3/5 temps,Psychologue 3 3/5 temps
63826,Coordonnateur form.pratique,Coordonnatrice form.pratique
63831,Rédacteur scientifique,Rédactrice scientifique
63832,Agent de comités / activités,Agente de comités / activités
63847,Responsable de recherche,Responsable de recherche
63848,Ingénieur biomédical,Ingénieure biomédicale
63849,Assistant resp. d'act. niv.1,Assistante resp. d'act. niv.1
63850,Conseiller acqui. talents div.,Conseillère acqui. talent div.
63851,Analyste acqui. talents div.,Analyste acqui. talents div.
63852,Conseiller gestion diversité,Conseillère gestion diversité
63853,Conseiller DO-Formation,Conseillère DO-Formation
63854,Conseiller prin. DO- Formation,Conseillère prin. DO-Formation
63855,Analyste DO-Formation,Analyste DO-Formation
63893,Chef programmeur,Chef programmeuse
63894,Chef réalisateur,Chef réalisatrice
63895,Superviseur (Documentation),Superviseure (Documentation)
63896,Agent admin. et recherche,Agente admin. et recherche
63897,Agent à l'info. et dossiers,Agent à l'info. et dossiers
63898,Conseiller gestion. projet TI,Conseiller gestion. projet TI
63899,Cons. affaires internationales,Cons. affaires internationales
63900,Officiel majeur solo,Officiel majeur solo
63901,Officiel majeur duo,Officiel majeur duo
63902,Travailleur social,Travailleuse social
63904,Conservateur,Conservatrice
63953,Bibliothécaire 2 s-c serv,Bibliothécaire 2 s-c serv
63954,Agent ( gest. hor.& locaux),Agente ( gest. hor.& locaux)
63956,Conseiller principal prog.étud,Conseillère principale prog.ét
63957,Conseiller en système d'inform,Conseillère en système d'infor
63958,Formateur,Formatrice
63972,Ouvreur de voies,Ouvreuse de voies
63973,Vérificateur interne,Vérificatrice interne
63974,Ouvreur de voies,Ouvreuse de voies
63975,Conférencier,Conférencière
63976,Officiel mineur - glace,Officielle mineure - glace
63977,Officiel mineur - hors glace,Officielle mineure -hors glace
63978,Officiel majeur - glace,Officielle majeure - glace
63979,Officiel majeur - hors glace,Officielle majeure -hors glace
63980,Officiel mineur/annonceur,Officielle mineure/annonceuse
63981,Animateur - escalade,Animatrice - escalade
63982,Assistant professeur,Assistante professeure
63983,Professeur activ.sport. niv.1,Professeure activ.sport. niv.1
63984,Professeur activ. sport. niv 2,Professeure activ. sport.niv 2
63985,Professeur activ. sport. niv 3,Professeure activ. sport.niv 3
63986,Agent de marketing,Agente de marketing
63987,Adjoint vice-décanat à la rech,Adjointe vice-décanat à la rec
63988,Conseiller aide financière,Conseillère aide financière
63989,Conseiller assurance qualité,Conseillère assurance qualité
63990,Conseiller étudiants étrangers,Conseillère étudiants étranger
63991,Accompagnateur vocal,Accompagnatrice vocale
63992,Coordonnateur en éthique,Coordonnatrice en éthique
63993,Adjoint à la doyenne,Adjointe à la doyenne
63994,Adjoint à la vice-doyenne,Adjointe à la vice-doyenne
63995,Adjoint  vice-doyen(Admission),Adjointe vice-doyen(Admission)
63996,Conseiller spécial,Conseillère spéciale
63997,Responsable (Formation),Responsable (Formation)
63998,Analyste en système 2,Analyste en système 2
63999,Stagiaire,Stagiaire
64001,Conseiller gestion des études,Conseillère gestion des études
64002,Conseiller principal adm.rech.,Conseillère principale adm.rec
64003,Acheteur principal,Acheteuse principale
64004,Conseiller en gest.budgetaire,Conseillère en gest.budgétaire
64005,Responsable ressources info.,Responsable ressources info.
64006,Adjoint à la direction,Adjointe à la direction
64007,Analyste recherche et planific,Analyste recherche et planific
64008,Conseiller principal rech.&pla,Conseillère principale rec.&pl
64009,Administrateur ententes finan.,Administratrice ententes finan
64010,Coordonnateur aux serv.admin.,Coordonnatrice aux serv.admin.
64011,Analyste philanthropie,Analyste philanthropie
64012,Cons. communication et recrut.,Cons. communication et recrut.
64013,Conseiller placement étudiant,Conseillère placement étudiant
64014,Adjoint au secrétaire,Adjointe au secrétaire
64015,Responsable de lab. informatiq,Responsable de lab. informatiq
64016,Conseiller en communication,Conseillère en communication
64017,Conseiller en recrutement étud,Conseillère en recrutement étu
64018,Conseiller éthique de la rech.,Conseillère éthique de la rech
64019,Conseiller aux aff.professor.,Conseillère aux aff.professor.
64020,Adjoint  vice-décanat aux étud,Adjointe vice-décanat aux étud
64021,Conseiller principal recherche,Conseillère principale recher.
64022,Analyste programme d'études,Analyste programmes d'études
64023,Coordonnateur des laboratoires,Coordonnatrice des laboratoires
64024,Responsable gestion des études,Responsable gestion des études
64025,Coordonnateur activ.& ataliers,Coordonnatrice activ.&ataliers
64026,Conseiller programmes d'études,Conseillère programme d'études
64027,Concept. ens. clinique,Concept. ens. clinique
64028,Coordonnateur ens. clinique,Coordonnatrice ens. clinique
64029,Responsable ress. mat. & phys.,Responsable ress. mat. & phys.
64030,Docimologue,Docimologue
64031,Coordonnateur cours de langue,Coordonnatrice cours de langue
64032,Analyste programmes d'études,Analyste programmes d'études
64033,Coordonnateur form.continue,Coordonnatrice form.continue
64034,Coordonnateur prog.d'études,Coordonnatrice prog.d'études
64035,Conseiller études anglophones,Conseillère études anglophones
64036,Conseiller principal dév. org.,Conseillère principale dév.org
64037,Analyste dotation,Analyste dotation
64038,Conseiller admin.et rech.,Conseillère admin.et rech.
64039,Coordonnateur ens. clinique,Coordonnatrice ens. clinique
64040,Conseiller techno-pédago.,Conseillère techno-pédago.
64041,Analyste matières dangeureuses,Analyste matières dangeureuses
64042,Responsable parc et atel. pian,Responsable parc et atel. pian
64043,Analyste prévention,Analyste prévention
64045,Coordonnateur comité stat.femm,Coordonnatrice comité stat.fem
64046,Conseiller régimes de retraite,Conseillère régimes de retrait
64047,Coordonnateur activ.culturelle,Coordonnatrice activ.culturell
64048,Coordonnateur contr.entretien,Coordonnatrice contr.entretien
64049,Conseiller serv.étud.handicap.,Conseillère serv.étud.handicap
64050,Coordonnateur gest.équipement,Coordonnatrice gest.équipement
64051,Coordonnateur vie en résidence,Coordonnatrice vie en résidenc
64052,Conseiller principal en dével.,Conseillère principale en déve
64053,Conseiller principal tr.inform,Conseillère principale tr.info
64054,Coordonnateur admission,Coordonnatrice admission
64055,Conseiller systèmes financiers,Conseillère systèmes financier
64056,Conseiller placement étudiants,Conseillère placement étudiant
64057,Conseiller principal éthique,Conseillère principale éthique
64058,Responsable formation continue,Responsable formation continue
64059,Coordonnateur horair.& locaux,Coordonnatrice horair.& locaux
64060,Conseiller principal audiovis.,Conseillère principale audiovi
64061,Coordonnateur aff. professor.,Coordonnatrice aff.professor.
64062,Conseiller principal affaires,Conseillère principale affaire
64064,Analyste en formation,Analyste en formation
64065,Conseiller principal prom.rech,Conseillère principale prom.re
64066,Adjoint vice-décanat étud&rech,Adjointe vice-décanat étud&rec
64067,Conseiller spécial,Conseillère spéciale
64068,Conseiller en gest.d'invalidit,Conseillère en gest.d'invalid.
64069,Conseiller en environnement,Conseillère en environnement
64070,Coordonnateur soins infirmiers,Coordonnatrice soins infirmier
64071,Conseiller en santé & sécurité,Conseillère en santé &sécurité
64072,Coordonnateur santé au travail,Coordonnatrice santé au travai
64073,Coord. de proj.instal.multimed,Coord. de proj.instal.multimed
64074,Concepteur principal,Conceptrice principale
64075,Programmeur,Programmeuse
64076,Coordonnateur centre dev. prof,Coordonnatrice centre dev.prof
64077,Coordonnateur ress. informatiq,Coordonnatrice ress.informatiq
64078,Analyste régime de retraite,Analyste régime de retraite
64079,Coordonnateur d'ateliers,Coordonnatrice d'ateliers
64080,Adjoint vice-doyenne (études),Adjointe vice-doyenne (études)
64081,Conseiller en gestion contrats,Conseillère en gestion contrat
64082,Adjoint vice-doyenne (recrut.),Adjointe vice-doyenne(recrut.)
64083,Coordonnateur gest.ét.serv.adm,Coordonnatrice gest.ét.serv.ad
64084,Cons. princ. archi. appl.,Cons. princ. archi. appl.
64085,Conseiller principal arch.tech,Conseillère principale ar.tech
64086,Physiothérapeute en chef,Physiothérapeute en chef
64087,Conseiller en maint.applicativ,Conseillère en maint.applicat.
64088,Coordonnateur mes.sout.franç.,Coordonnatrice mes.sout.franç.
64089,Analyste fonctionnel,Analyste fonctionnelle
64090,Conseiller gestion changement,Conseillère gestion changement
64091,Gestionnaire de produits,Gestionnaire de produits
64092,Analyste en développement info,Analyste en développement info
64093,Concepteur principal,Conceptrice principale
64094,Concepteur rôles et permission,Conceptrice rôles et permissio
64095,Concept. dév. informati.,Concept. dév. informati.
64096,Coordonnateur commun.et admin.,Coordonnatrice commun.et admin
64097,Coordonnateur - Belles soirées,Coordonnatrice -Belles soirées
64098,Coordonnateur aff.professoral.,Coordonnatrice aff.professoral
64099,Coordonnateur à l'administrat.,Coordonnatrice à l'administrat
64100,Responsable action hum.et com.,Responsable action hum.et com.
64101,Conseiller stratégique,Conseillère stratégique
64102,Analyste processus,Analyste processus
64103,Ergonome (logiciel),Ergonome (logiciel)
64104,Coordonnateur de la diversité,Coordonnatrice de la diversité
64105,Responsable secteur clinique,Responsable secteur clinique
64106,Agent aux évènements,Agente aux évènements
64107,Coordonnateur form clinique,Coordonnatrice form clinique
64108,Concept. techno. multimédia,Concept. techno. multimédia
64109,Conseiller principal audiovis.,Conseillère principale audiov.
64110,Cons. princ. arch. de sécurité,Cons. princ. arch. de sécurité
64111,Orthopédagogue,Orthopédagogue
64112,Agent de recherche,Agente de recherche
64113,Conseiller à la biodiversité,Conseillère à la biodiversité
64114,Agent sol d'aff gest doss étud,Agent sol d'aff gest doss étud
64115,Cons. relations avec diplômés,Cons. relations avec diplômés
64116,Cons. syst. proc. d'affaires,Cons. syst. proc. d'affaires
64117,Coord. amélio continue progr.,Coord. amélio continue progr.
64118,Assistant exécutif,Assistante exécutive
64119,Agent proces. aff. internes,Agent proces. aff. internes
64120,Psycholoque - coordonnateur,Psychologue - coordonnatrice
64121,"Coord. platef, cycométrie flux",Coord. platef. cycométrie flux
64122,Cons. Principal aff. internat.,Cons. Principal aff. Internat.
64123,Cons. Finan. Mobili. Commu,Cons. Finan. Mobili. Commu.
64124,Préparateur physique,Préparatrice physique
64125,Conseiller rech. et plan.,Conseillère rech. et plan.
64126,Cons. spécialisé prog. études,Cons. spécialisé prog. études
64127,Gestionnaire planification,Gestionnaire planification
64128,Resp. prog. perf. mentale,Resp. prog. perf. mentale
64129,Gestionnaire de catégorie,Gestionnaire de catégorie
64130,Partenaire RH,Partenaire RH
64131,Gérant rés.(Centre commun.),Gérante rés.(Centre commun.)
71001,Resp. Ecole des jeunes,Resp. Ecole des jeunes
71002,Gérant,Gérante
71003,Gérant rés.(Centre commun.),Gérante rés.(Centre commun.)
71004,Responsable prod de la paie,Responsable prod de la paie
71005,Responsable syst.cont. (Paie),Responsable syst.cont. (Paie)
71006,Agent d'administration,Agente d'administration
71007,Agent d'administration,Agente d'administration
71008,Assistant payeur,Assistante payeuse
71009,Responsable de l'accueil,Responsable de l'accueil
71010,Responsable dossiers étudiants,Responsable dossiers étudiants
71011,Gérant des opérations,Gérante des opérations
71012,Resp. oper. cliniques,Resp. oper. cliniques
71013,Assistant gérant,Assistante gérante
71014,Coordonnateur,Coordonnatrice
71015,Chef de section (Courrier),Chef de section (Courrier)
71016,Adjoint responsable de projet,Adjointe responsable de projet
71017,Resp. admission(patients)-FMD,Resp. admission(patients)-FMD
71018,Secrétaire administratif,Secrétaire administrative
71019,Secretaire administratif,Secretaire administrative
71020,Commis-vérificateur,Commis-vérificatrice
71021,Responsable de l'information,Responsable de l'information
71022,Responsable sect. (Télécourr.),Responsable sect. (Télécourr.)
71023,Responsable salles de concert,Responsable salles de concert
71024,Coord. à la gestion,Coord. à la gestion
71026,Responsable(Archiv.étudiantes),Responsable(Archiv.étudiantes)
71027,Responsable coord.prog.et etud,Responsable coord.prog.et etud
71028,Responsable à la production,Responsable à la production
71029,Responsable doss.chargé cours,Responsable doss.chargé cours
71030,"Resp. adm., unité de recherche","Resp. adm., unité de recherche"
71031,Resp Serv Tech et Serv Client,Resp Serv Tech et Serv Client
71032,Adjoint au directeur,Adjointe au directeur
71033,Responsable,Responsable
71034,Adj. à la vice-doyenne,Adj. à la vice-doyenne
71035,Coord. de prog. sportifs,Coord. de prog. sportifs
71036,Resp. -serv. sports,Resp. -serv. sports
71037,Coord. act. culturelles,Coord. act. culturelles
71038,Coord. serv. à la client.,Coord. serv. à la client.
71040,Responsable (Cueill.données),Responsable (Cueill.données)
71041,Responsable serv. clientèle,Responsable serv. clientèle
71042,Responsable de la téléphonie,Responsable de la téléphonie
71043,Responsable (Services central),Responsable (Services central)
71044,Responsable des opér.administr,Responsable des opér.administr
71054,Assistant magasinier chef,Assistante magasinière chef
71055,Chef opérateur,Chef opératrice
71056,Responsable doss. admission,Responsable doss. admission
71057,Responsable de projets PUM,Responsable de projets PUM
71058,Responsable organis.matériell,Responsable organis.matériell
71059,Responsable des frais scolarit,Responsable des frais scolarit
71060,Resp. conciliations bancaires,Resp. conciliations bancaires
71080,Coordonnateur au P.R.D.H.,Coordonnatrice au P.R.D.H.
71081,Coordonnateur de secrétariat,Coordonnatrice de secrétariat
71083,Chef de bureau,Chef de bureau
71094,Chef de secrétariat,Chef de secrétariat
71095,Responsable opér. budgétaires,Responsable opér. budgétaires
71096,Chef de section,Chef de section
71097,Adjoint au chef (Mag.scolaire),Adjointe au chef(Mag.scolaire)
71101,Chef receveur expéditeur,Chef receveure expéditrice
71141,Responsable (Études),Responsable (Études)
71202,Libraire responsable,Libraire responsable
71205,Magasinier chef,Magasinière chef
71206,Coordonnateur assign.locaux,Coordonnatrice assign.locaux
71226,Moniteur (Perforation),Monitrice (Perforation)
71240,Opérateur responsable,Opératrice responsable
71241,Opérateur responsable,Opératrice responsable
71289,Assistant à la promotion,Assistante à la promotion
71294,Secrétaire administratif,Secrétaire administrative
71328,Responsable (Section achats),Responsable (Section achats)
71334,Commis-vérificateur,Commis-vérificatrice
71344,Responsable (Doss.académiques),Responsable (Doss.académiques)
71345,Responsable (All. des salles),Responsable (All. des salles)
71349,Responsable de section,Responsable de section
71350,Responsable section (Diplômes),Responsable section (Diplômes)
71360,Chef secrétariat (Prem. grade),Chef secrétariat (Prem. grade)
71533,Resp. admissions-FMV,Resp. admissions-FMV
71553,Responsable (Courrier),Responsable (Courrier)
71561,Responsable (Comptes à payer),Responsable (Comptes à payer)
71562,Responsable droits scolarité,Responsable droits scolarité
71563,Responsable centre d'exposit.,Responsable centre d'exposit.
71573,Responsable du contrôle,Responsable du contrôle
71587,Surveillant,Surveillante
71588,Surveillant,Surveillante
71657,Coordonnateur (Photocopieurs),Coordonnatrice (Photocopieurs)
71717,Assistant payeur,Assistante payeuse
71730,Adjoint-chef exploitation,Adjointe chef exploitation
71731,Adjoint au secrétaire e.m.v.,Adjointe au secrétaire e.m.v.
71764,Responsable dos.pers.enseign.,Responsable dos.pers.enseign.
71784,Responsable (Grades),Responsable (Grades)
71786,Coordonnateur de fichier,Coordonnatrice de fichiers
71787,Coordonnateur fich.pers.compt.,Coordonnatrice fich.pers.compt
71788,Responsable ass.qual.sécurité,Responsable ass.qual.sécurité
71964,Responsable(Grades supérieurs),Responsable(Grades supérieurs)
71968,Responsable (Premiers grades),Responsable (Premiers grades)
71969,Responsable des serv.administ.,Responsable des serv.administ.
71970,Adjoint au secrétaire,Adjointe au secrétaire
71971,Responsable gestion des études,Responsable gestion des études
71972,Responsable de(s) lab(s).,Responsable de(s) lab(s).
71973,Responsable activ. hors campus,Responsable activ. hors campus
71974,Responsable gest.ress.humaines,Responsable gest.ress.humaines
71976,Gérant de librairie,Gérante de librairie
71977,Responsable gestion des études,Responsable gestion des études
71978,Responsable photocopieurs,Responsable photocopieurs
71979,Responsable activ. culturelles,Responsable activ. culturelles
71980,Responsable gestion financière,Responsable gestion financière
71981,Chef services techniques,Chef services techniques
71982,Responsable communication,Responsable communication
71983,Responsable gest.doss.admiss.,Responsable gest.doss.admiss.
71994,Responsable des serv.cliniques,Responsable des serv.cliniques
71995,Responsable gest.ress.matériel,Responsable gest.ress.matériel
71996,Responsable- subventions,Responsable- subventions
72001,Coordonnateur - CDEA,Coordonnatrice - CDEA
72002,Chef des laboratoires,Chef des laboratoires
72003,Chef des ateliers,Chef des ateliers
72004,Chef de division (Opérations),Chef de division (Opérations)
72005,Chef de division(Eq.impl.tech),Chef de division(Eq.impl.tech)
72006,Coordonnateur (Technique),Coordonnatrice (Technique)
72007,Coordonnateur (Équipement),Coordonnatrice (Équipement)
72008,Superviseur (serdi),Superviseure (serdi)
72009,Adjoint technique,Adjointe technique
72010,Superviseur d'immeubles,Superviseure d'immeubles
72011,Responsable de secteur,Responsable de secteur
72012,Responsable de service (serdi),Responsable de service (serdi)
72013,Coordonnateur,Coordonnatrice
72014,Superviseur d'immeubles,Superviseure d'immeubles
72015,Responsable de service,Responsable de service
72016,Responsable(Service technique),Responsable(Service technique)
72017,Chef de section (Prev.-incend),Chef de section (Prev.-incend)
72018,Superviseur(Réseaux électriq.),Superviseure(Réseaux électriq)
72019,Responsable - couv.électroniq.,Responsable - couv.électroniq.
72020,Responsable - atelier,Responsable - atelier
72021,Superviseur (Centre progr),Superviseure (Centre progr)
72022,Surintendant (Communication),Surintendante (Communication)
72023,Superviseur (Plans et relevés),Superviseure(Plans et relevés)
72024,Superviseur (Opér. techniques),Superviseure (Opér.techniques)
72025,Superviseur (Photographie),Superviseure (Photographie)
72026,Superviseur c.l.c.d.,Superviseure c.l.c.d.
72027,Appariteur principal,Apparitrice principale
72028,Superviseur C.C.R.T.,Superviseure C.C.R.T.
72029,Coordonnateur,Coordonnatrice
72030,Responsable -lab.informatiques,Responsable -lab.informatiques
72031,Resp. syst. de gestion,Resp. syst. de gestion
72032,Chef réseau électrique,Chef réseau électrique
72033,Resp. sect. electroacous.,Resp. sect. electroacous.
72034,Resp. act. hum. et commu.,Resp. act. hum. et commu.
72035,Superv. opération hospitalière,Superv. opération hospitalière
72036,Coordonnateur techno. éducat.,Coordonnatrice techno. éducat.
72080,Chef d'atelier,Chef d'atelier
72091,Chef de laboratoire,Chef de laboratoire
72108,Coordonnateur clinique(Recycl),Coordonnatrice clinique(Recly)
72110,Chef technicien,Chef technicienne
72155,Agent technique principal,Agente technique principale
72197,Superviseur (Graphique),Superviseure (Graphique)
72264,Superviseur (Photo cine),Superviseure (Photo cine)
72321,Technicien-machiniste,Technicienne-machiniste
72342,Responsable (Plans et relevés),Responsable (Plans et relevés)
72376,Assistant-dentaire chef,Assistante-dentaire chef
72390,Responsable des télécommunic.,Responsable des télécommunic.
72424,Chef photographe,Chef photographe
72430,Responsable de projet,Responsable de projet
72442,Infirmier-chef,Infirmière-chef
72509,Adjoint à la coordination,Adjointe à la coordination
72563,Adjoint technique,Adjointe technique
72855,Responsable centre de program.,Responsable centre de program.
72958,Superviseur (Atel.techniques),Superviseure (Atel.techniques)
72959,Superviseur (Électronique),Superviseure (Électronique)
72960,Superviseur (Comptes-services),Superviseure(Comptes-services)
72961,Responsable de(s) lab(s),Responsable de(s) lab(s)
72962,Resp. service à la clientele,Resp. service à la clientele
72963,Chef service à la clientèle,Chef service à la clientèle
72964,Responsable sout.technologique,Responsable sout.technologique
72965,Responsable soins animaliers,Responsable soins animaliers
72966,Responsable serv.hum. et comm.,Responsable serv.hum. et comm.
72967,Responsable soutien pavillon,Responsable soutien pavillon
72968,Responsable points de service,Responsable points de service
72969,Responsable des TIC,Responsable des TIC
72996,Superviseur (m.i.t.),Superviseure (m.i.t.)
72997,Superviseur (e.i.t.),Superviseure (e.i.t.)
72998,Contremaître,Contremaîtresse
72999,Responsable ress.informatiques,Responsable ress.informatiques
73002,Gérant,Gérante
73003,Chef de section(Travaux-Régie),Chef de section(Travaux-Régie)
73004,Chef de service,Chef de service
73005,Adjoint à la coordination,Adjointe à la coordination
73006,Représentant (D.I.),Représentante (D.I.)
73007,Assistant-chef (Mécan.-opérat),Assistante-chef(Mécan.-opérat)
73008,Surintendant (Entr.mén.-conc.),Surintendante(Entr.mén.-conc.)
73009,Superviseur (Gardiennage),Superviseure (Gardiennage)
73010,Responsable sect. estim.-surv.,Responsable sect. estim.-surv.
73011,Superviseur,Superviseure
73012,Inspecteur de travaux,Inspectrice de travaux
73013,Assistant gérant,Assistante gérant
73014,Chef de section(S.A.intérieur),Chef de section(S.A.intérieur)
73015,Chef section (Arch.extérieur),Chef section (Arch.extérieur)
73016,Chef de section (Ateliers),Chef de section (Ateliers)
73017,Chef section (Serrur.et quinc),Chef section (Serrur.et quinc)
73018,Estimateur (Surv.des travaux),Estimatrice (Surv.des travaux)
73019,Chef de section (Terrains),Chef de section (Terrains)
73020,Surintendant (E.m.-concierg.),Surintendante (E.m.-concierg.)
73021,Chef de section (Horticulture),Chef de section (Horticulture)
73022,Chef de section  (Mécanique),Chef de section (Mécanique)
73023,Chef de section (Électricité),Chef de section (Électricité)
73024,Assistant surintendant,Assistante surintendante
